German,English
sie,she / they / her / you (formal)
das,that / this / it / the (neuter)
ist,is
du,"you (informal, singular)"
die,the (fem./plural) / who / which
und,and
wir,we
was,what
zu,to / too / at
ein,a / an / one
in,in / into
ja,yes
mir,me / to me
wie,how / like / as
den,the (accusative of “der”)
mich,me
dass,that (conjunction)
aber,but
eine,a / an (feminine)
hat,has
haben,to have
für,for
sind,are
war,was
wenn,if / when
ihr,she (dat.) / you (pl.) / their / her
nein,no
bin,am
noch,still / yet / else
nur,only / just
da,there / here / then
dir,you / to you (dat.)
sich,oneself / himself / herself / themselves
einen,"a / an (masc., accusative)"
hast,have (you)
auch,also / too
als,than / as / when
sein,his / its / one’s / to be
mal,"time (once, sometime)"
ihn,him / it
dann,then / after that
meine,my (fem./plural)
um,around / about / at (time) / in order to
bist,are (you)
alles,everything
weiß,know(s) / white
keine,no / none / not any
nach,after / to / toward
s,’s (often from “es” in speech)
nichts,nothing
werden,to become / will (future aux.)
will,wants / wants to
geht,goes / is going / works
wo,where
etwas,something / somewhat / a bit
mehr,more
also,so / therefore / well (filler)
warum,why
vor,before / in front of / ago
los,off / loose / get going (“let’s go”)
können,can / to be able to
sagen,to say / to tell
machen,to do / to make
danke,thanks / thank you
sehr,very
alle,all / everyone / everybody
