German,English
ich,I
sie,she / they / her / you (formal)
das,that / this / it / the (neuter)
ist,is
du,"you (informal, singular)"
nicht,not
die,the (fem./plural) / who / which
es,it
und,and
der,the (masc.) / who / which
wir,we
was,what
zu,to / too / at
er,he
ein,a / an / one
in,in / into
ja,yes
mir,me / to me
mit,with
wie,how / like / as
den,the (accusative of “der”)
mich,me
auf,on / onto / upon
dass,that (conjunction)
aber,but
eine,a / an (feminine)
so,so / such / like this
hat,has
hier,here
haben,to have
für,for
sind,are
war,was
von,from / of
wenn,if / when
dich,you (object)
ihr,she (dat.) / you (pl.) / their / her
nein,no
habe,have
an,on / at / to
bin,am
noch,still / yet / else
nur,only / just
da,there / here / then
dir,you / to you (dat.)
sich,oneself / himself / herself / themselves
einen,"a / an (masc., accusative)"
uns,us
hast,have (you)
dem,the / to the (dat. masc./neuter)
kann,can / is able to
gut,good / well
auch,also / too
schon,already / yet / really
als,than / as / when
sein,his / its / one’s / to be
mal,"time (once, sometime)"
jetzt,now
ihn,him / it
dann,then / after that
aus,from / out of
meine,my (fem./plural)
um,around / about / at (time) / in order to
im,in the
wird,will / becomes / is going to
mein,my / mine
bist,are (you)
doch,though / however / after all / really
alles,everything
weiß,know(s) / white
keine,no / none / not any
oder,or
nach,after / to / toward
s,’s (often from “es” in speech)
nichts,nothing
man,one / you / people / they
muss,must / has to
werden,to become / will (future aux.)
will,wants / wants to
ihnen,"them / to them / you (formal, dat.)"
geht,goes / is going / works
wo,where
etwas,something / somewhat / a bit
oh,oh
mehr,more
bei,at / by / with / near
also,so / therefore / well (filler)
bitte,please / you’re welcome
immer,always
hab,have (colloquial of “habe”)
warum,why
vor,before / in front of / ago
los,off / loose / get going (“let’s go”)
können,can / to be able to
wieder,again
sagen,to say / to tell
machen,to do / to make
danke,thanks / thank you
sehr,very
alle,all / everyone / everybody
