German,English
ist,is
die,the (fem./plural) / who / which
wir,we
zu,to / too / at
ein,a / an / one
in,in / into
mir,me / to me
wie,how / like / as
mich,me
dass,that (conjunction)
aber,but
eine,a / an (feminine)
hat,has
haben,to have
für,for
sind,are
war,was
wenn,if / when
ihr,she (dat.) / you (pl.) / their / her
nein,no
bin,am
nur,only / just
da,there / here / then
sich,oneself / himself / herself / themselves
einen,"a / an (masc., accusative)"
hast,have (you)
auch,also / too
als,than / as / when
sein,his / its / one’s / to be
mal,"time (once, sometime)"
ihn,him / it
dann,then / after that
um,around / about / at (time) / in order to
bist,are (you)
keine,no / none / not any
nach,after / to / toward
s,’s (often from “es” in speech)
nichts,nothing
will,wants / wants to
geht,goes / is going / works
wo,where
etwas,something / somewhat / a bit
also,so / therefore / well (filler)
warum,why
vor,before / in front of / ago
los,off / loose / get going (“let’s go”)
können,can / to be able to
sagen,to say / to tell
danke,thanks / thank you
sehr,very
alle,all / everyone / everybody
